flight,tail_number,long,lat,alt,manufacturer,model,reg_expiration,reg_owner,reg_city,reg_state,squawk,mph,spotted
SIS300,N300NJ,-118.213,34.5823,20175,BOMBARDIER INC,BD-100-1A10,1/31/24,PUNTA PACIFICO I LLC,BAKERSFIELD,CALIFORNIA,1077,474,11/7/22 13:30
UAL1434,N67501,-117.937,34.6038,36700,BOEING,737-9,4/30/24,UNITED AIRLINES INC,CHICAGO,ILLINOIS,7730,523,11/7/22 13:30
SWA3287,N483WN,-118.035,34.6345,13225,BOEING,737-7H4,8/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4770,380,11/7/22 13:30
AAL2059,N660AW,-118.075,34.4643,33750,AIRBUS INDUSTRIE,A320-232,2/29/24,US BANK NA TRUSTEE,BOSTON,MASSACHUSETTS,1751,527,11/7/22 13:30
N84PJ,N84PJ,-117.756,34.6002,34725,DASSAULT,FALCON 2000EX,12/31/24,HAMPTON AIRWAYS INC,SELLERSBURG,INDIANA,6054,525,11/7/22 13:40
N1RB,N1RB,-117.514,34.4744,43650,BOMBARDIER INC,BD-100-1A10,6/30/24,BAC TRANSPORTATION INC,STOCKTON,CALIFORNIA,,534,11/7/22 13:40
SWA2533,N476WN,-117.624,34.5376,38775,BOEING,737-7H4,5/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2712,527,11/7/22 13:50
N94HL,N94HL,-117.763,34.5673,26125,CESSNA,525,4/30/25,CAE OXFORD AVIATION ACADEMY PHOENIX INC,MESA,ARIZONA,1541,460,11/7/22 13:50
ATN3464,N347AZ,-117.956,34.5818,18675,BOEING,767-319,10/31/25,CARGO AIRCRAFT MANAGEMENT INC,WILMINGTON,OHIO,6663,460,11/7/22 13:50
JSX1O7,N258JX,-118.121,34.6135,8275,EMBRAER,EMB-135LR,6/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4624,460,11/7/22 14:00
FENIX45,N545PA,-117.961,34.6441,13825,GATES LEAR JET,36A,1/31/24,PHOENIX AIR GROUP INC,CARTERSVILLE,GEORGIA,4125,460,11/7/22 14:00
UAL1745,N212UA,-118.071,34.4863,37825,BOEING,777-222,4/30/25,UNITED AIRLINES INC,CHICAGO,ILLINOIS,1754,557,11/7/22 14:00
